,gene_ids
WDTC1,ENSG00000142784
FGR,ENSG00000000938
IFI6,ENSG00000126709
STX12,ENSG00000117758
THEMIS2,ENSG00000130775
EYA3,ENSG00000158161
DNAJC8,ENSG00000126698
PHACTR4,ENSG00000204138
TRNAU1AP,ENSG00000180098
LINC01715,ENSG00000229388
AL360012.1,ENSG00000270103
MATN1,ENSG00000162510
TXLNA,ENSG00000084652
CCDC28B,ENSG00000160050
ZBTB8OS,ENSG00000176261
AL020995.1,ENSG00000236065
AL513327.1,ENSG00000225313
SMIM12,ENSG00000163866
ZMYM6,ENSG00000163867
ZMYM4,ENSG00000146463
KIAA0319L,ENSG00000142687
AGO4,ENSG00000134698
AGO1,ENSG00000092847
STK40,ENSG00000196182
CSF3R,ENSG00000119535
LINC01137,ENSG00000233621
ZC3H12A,ENSG00000163874
GNL2,ENSG00000134697
C1orf122,ENSG00000197982
INPP5B,ENSG00000204084
AL139260.1,ENSG00000228436
MYCBP,ENSG00000214114
PPT1,ENSG00000131238
ZMPSTE24,ENSG00000084073
AL603839.3,ENSG00000238287
NFYC-AS1,ENSG00000272145
CTPS1,ENSG00000171793
SCMH1,ENSG00000010803
HIVEP3,ENSG00000127124
ZMYND12,ENSG00000066185
CCDC30,ENSG00000186409
P3H1,ENSG00000117385
MED8,ENSG00000159479
SZT2,ENSG00000198198
KDM4A-AS1,ENSG00000236200
ST3GAL3,ENSG00000126091
IPO13,ENSG00000117408
ARMH1,ENSG00000198520
PTCH2,ENSG00000117425
EIF2B3,ENSG00000070785
ZSWIM5,ENSG00000162415
TOE1,ENSG00000132773
AKR1A1,ENSG00000117448
IPP,ENSG00000197429
MAST2,ENSG00000086015
SPATA6,ENSG00000132122
AGBL4,ENSG00000186094
AC104170.1,ENSG00000227070
KTI12,ENSG00000198841
BTF3L4,ENSG00000134717
ZFYVE9,ENSG00000157077
COA7,ENSG00000162377
ZYG11B,ENSG00000162378
SLC1A7,ENSG00000162383
CPT2,ENSG00000157184
LRP8,ENSG00000157193
NDC1,ENSG00000058804
SSBP3,ENSG00000157216
DAB1,ENSG00000173406
OMA1,ENSG00000162600
MYSM1,ENSG00000162601
FGGY,ENSG00000172456
NFIA,ENSG00000162599
TM2D1,ENSG00000162604
AC099791.2,ENSG00000271200
PATJ,ENSG00000132849
ITGB3BP,ENSG00000142856
PGM1,ENSG00000079739
ROR1,ENSG00000185483
CACHD1,ENSG00000158966
LEPROT,ENSG00000213625
LEPR,ENSG00000116678
PDE4B,ENSG00000184588
SLC35D1,ENSG00000116704
IL12RB2,ENSG00000081985
GADD45A,ENSG00000116717
LRRC7,ENSG00000033122
NEGR1,ENSG00000172260
ST6GALNAC3,ENSG00000184005
PIGK,ENSG00000142892
AK5,ENSG00000154027
AC118549.1,ENSG00000036549
MIGA1,ENSG00000180488
NEXN,ENSG00000162614
GIPC2,ENSG00000137960
AC103591.3,ENSG00000273338
IFI44L,ENSG00000137959
IFI44,ENSG00000137965
LINC01362,ENSG00000230817
LINC01725,ENSG00000233008
SPATA1,ENSG00000122432
SSX2IP,ENSG00000117155
MCOLN2,ENSG00000153898
WDR63,ENSG00000162643
AL078459.1,ENSG00000223653
CLCA4-AS1,ENSG00000236915
HS2ST1,ENSG00000153936
PKN2-AS1,ENSG00000237505
KYAT3,ENSG00000137944
GBP1,ENSG00000117228
AL596214.1,ENSG00000286548
LRRC8C,ENSG00000171488
LRRC8D,ENSG00000171492
CDC7,ENSG00000097046
TGFBR3,ENSG00000069702
BTBD8,ENSG00000189195
EVI5,ENSG00000067208
GCLM,ENSG00000023909
ALG14,ENSG00000172339
DPYD,ENSG00000188641
DPYD-AS1,ENSG00000232878
AGL,ENSG00000162688
SLC35A3,ENSG00000117620
SASS6,ENSG00000156876
LRRC39,ENSG00000122477
DBT,ENSG00000137992
RTCA-AS1,ENSG00000224616
CDC14A,ENSG00000079335
AC093157.1,ENSG00000233184
VAV3,ENSG00000134215
VAV3-AS1,ENSG00000230489
LINC02785,ENSG00000226822
SLC25A24,ENSG00000085491
FAM102B,ENSG00000162636
KIAA1324,ENSG00000116299
SORT1,ENSG00000134243
AMPD2,ENSG00000116337
LAMTOR5-AS1,ENSG00000224699
SLC16A4,ENSG00000168679
KCNA3,ENSG00000177272
AL360270.1,ENSG00000232811
CEPT1,ENSG00000134255
INKA2,ENSG00000197852
INKA2-AS1,ENSG00000227811
RHOC,ENSG00000155366
SLC16A1,ENSG00000155380
SLC16A1-AS1,ENSG00000226419
LRIG2-DT,ENSG00000238198
MAGI3,ENSG00000081026
PHTF1,ENSG00000116793
AL137856.1,ENSG00000231128
PTPN22,ENSG00000134242
HIPK1-AS1,ENSG00000235527
DENND2C,ENSG00000175984
SLC22A15,ENSG00000163393
ATP1A1-AS1,ENSG00000203865
LINC01762,ENSG00000233154
CD58,ENSG00000116815
CD2,ENSG00000116824
AL445231.1,ENSG00000236137
WDR3,ENSG00000065183
WARS2,ENSG00000116874
WARS2-AS1,ENSG00000231365
NOTCH2,ENSG00000134250
SRGAP2C,ENSG00000171943
LINC02798,ENSG00000227082
GPR89A,ENSG00000117262
CD160,ENSG00000117281
PIAS3,ENSG00000131788
LIX1L,ENSG00000271601
HJV,ENSG00000168509
AC239799.2,ENSG00000287190
AC245407.2,ENSG00000287978
AC242426.2,ENSG00000237188
FMO5,ENSG00000131781
NBPF19,ENSG00000271383
HIST2H2BF,ENSG00000203814
HIST2H2AA4,ENSG00000272196
AC239868.1,ENSG00000264207
MTMR11,ENSG00000014914
VPS45,ENSG00000136631
C1orf54,ENSG00000118292
RPRD2,ENSG00000163125
TARS2,ENSG00000143374
ADAMTSL4-AS1,ENSG00000203804
CTSS,ENSG00000163131
ARNT,ENSG00000143437
BNIPL,ENSG00000163141
C1orf56,ENSG00000143443
TNFAIP8L2,ENSG00000163154
PIP5K1A,ENSG00000143398
RFX5,ENSG00000143390
POGZ,ENSG00000143442
TUFT1,ENSG00000143367
TDRKH-AS1,ENSG00000203288
C2CD4D-AS1,ENSG00000234614
AL450992.3,ENSG00000286581
S100A11,ENSG00000163191
S100A9,ENSG00000163220
S100A12,ENSG00000163221
S100A8,ENSG00000143546
S100A6,ENSG00000197956
S100A4,ENSG00000196154
CHTOP,ENSG00000160679
DENND4B,ENSG00000198837
ATP8B2,ENSG00000143515
IL6R-AS1,ENSG00000228013
IL6R,ENSG00000160712
SHC1,ENSG00000160691
FLAD1,ENSG00000160688
FDPS,ENSG00000160752
LMNA,ENSG00000160789
SEMA4A,ENSG00000196189
BGLAP,ENSG00000242252
GLMP,ENSG00000198715
C1orf61,ENSG00000125462
RRNAD1,ENSG00000143303
PRCC,ENSG00000143294
ARHGEF11,ENSG00000132694
ETV3,ENSG00000117036
FCRL5,ENSG00000143297
FCRL2,ENSG00000132704
FCRL1,ENSG00000163534
CD1D,ENSG00000158473
MNDA,ENSG00000163563
PYHIN1,ENSG00000163564
FCRL6,ENSG00000181036
PEA15,ENSG00000162734
PEX19,ENSG00000162735
SLAMF6,ENSG00000162739
CD84,ENSG00000066294
AL121985.1,ENSG00000228863
SLAMF7,ENSG00000026751
CD244,ENSG00000122223
F11R,ENSG00000158769
USF1,ENSG00000158773
NIT1,ENSG00000158793
USP21,ENSG00000143258
PPOX,ENSG00000143224
FCER1G,ENSG00000158869
FCGR2A,ENSG00000143226
HSPA6,ENSG00000173110
FCGR3A,ENSG00000203747
FCGR2B,ENSG00000072694
DUSP12,ENSG00000081721
ATF6,ENSG00000118217
SH2D1B,ENSG00000198574
UAP1,ENSG00000117143
DDR2,ENSG00000162733
AL592435.1,ENSG00000232995
CD247,ENSG00000198821
CREG1,ENSG00000143162
AL031733.2,ENSG00000241666
DCAF6,ENSG00000143164
XCL2,ENSG00000143185
XCL1,ENSG00000143184
ATP1B1,ENSG00000143153
NME7,ENSG00000143156
BLZF1,ENSG00000117475
Z99572.1,ENSG00000213062
F5,ENSG00000198734
C1orf112,ENSG00000000460
BX284613.2,ENSG00000231424
DNM3,ENSG00000197959
AL645568.1,ENSG00000203739
KLHL20,ENSG00000076321
CENPL,ENSG00000120334
ZBTB37,ENSG00000185278
RABGAP1L,ENSG00000152061
Z99127.1,ENSG00000229531
AL591043.2,ENSG00000236021
C1orf220,ENSG00000213057
RALGPS2,ENSG00000116191
ANGPTL1,ENSG00000116194
QSOX1,ENSG00000116260
GLUL,ENSG00000135821
LAMC1,ENSG00000135862
SMG7,ENSG00000116698
NCF2,ENSG00000116701
RGL1,ENSG00000143344
TSEN15,ENSG00000198860
C1orf21,ENSG00000116667
NIBAN1,ENSG00000135842
RNF2,ENSG00000121481
ODR4,ENSG00000157181
PTGS2,ENSG00000073756
ERVMER61-1,ENSG00000230426
RGS18,ENSG00000150681
RGS1,ENSG00000090104
AL136454.1,ENSG00000231767
RGS2,ENSG00000116741
GLRX2,ENSG00000023572
LINC01031,ENSG00000232077
AL136456.1,ENSG00000227240
CFH,ENSG00000000971
ZBTB41,ENSG00000177888
CRB1,ENSG00000134376
DENND1B,ENSG00000213047
MIR181A1HG,ENSG00000229989
KIF14,ENSG00000118193
CAMSAP2,ENSG00000118200
IPO9,ENSG00000198700
TIMM17A,ENSG00000134375
RNPEP,ENSG00000176393
ARL8A,ENSG00000143862
LGR6,ENSG00000133067
PPP1R12B,ENSG00000077157
KLHL12,ENSG00000117153
ATP2B4,ENSG00000058668
AL606489.1,ENSG00000226330
PIK3C2B,ENSG00000133056
DSTYK,ENSG00000133059
AC119673.2,ENSG00000286619
SRGAP2,ENSG00000266028
C1orf147,ENSG00000162888
IL24,ENSG00000162892
CR1,ENSG00000203710
G0S2,ENSG00000123689
RCOR3,ENSG00000117625
TRAF5,ENSG00000082512
INTS7,ENSG00000143493
DTL,ENSG00000143476
AL360091.3,ENSG00000234915
ATF3,ENSG00000162772
BATF3,ENSG00000123685
NSL1,ENSG00000117697
FLVCR1-DT,ENSG00000198468
ANGEL2,ENSG00000174606
RPS6KC1,ENSG00000136643
CENPF,ENSG00000117724
GPATCH2,ENSG00000092978
TGFB2,ENSG00000092969
LYPLAL1,ENSG00000143353
MARC1,ENSG00000186205
DUSP10,ENSG00000143507
FAM177B,ENSG00000197520
AL392172.2,ENSG00000287684
AL392172.1,ENSG00000228106
DISP1,ENSG00000154309
TLR5,ENSG00000187554
SUSD4,ENSG00000143502
FBXO28,ENSG00000143756
CNIH3,ENSG00000143786
TMEM63A,ENSG00000196187
PYCR2,ENSG00000143811
LINC01703,ENSG00000225518
SNAP47,ENSG00000143740
C1orf35,ENSG00000143793
IBA57,ENSG00000181873
OBSCN,ENSG00000154358
TRIM11,ENSG00000154370
HIST3H2A,ENSG00000181218
RHOU,ENSG00000116574
RAB4A,ENSG00000168118
CCSAP,ENSG00000154429
TAF5L,ENSG00000135801
GALNT2,ENSG00000143641
COG2,ENSG00000135775
C1orf198,ENSG00000119280
C1orf131,ENSG00000143633
EXOC8,ENSG00000116903
EGLN1,ENSG00000135766
AL445524.1,ENSG00000233461
DISC1,ENSG00000162946
PCNX2,ENSG00000135749
COA6-AS1,ENSG00000231663
COA6,ENSG00000168275
GPR137B,ENSG00000077585
EDARADD,ENSG00000186197
HEATR1,ENSG00000119285
CHRM3,ENSG00000133019
RGS7,ENSG00000182901
KMO,ENSG00000117009
CEP170,ENSG00000143702
AKT3,ENSG00000117020
AL645465.1,ENSG00000240963
CATSPERE,ENSG00000179397
DESI2,ENSG00000121644
AL356512.1,ENSG00000272195
KIF26B,ENSG00000162849
SMYD3,ENSG00000185420
SCCPDH,ENSG00000143653
ZNF669,ENSG00000188295
AL390728.6,ENSG00000259865
NLRP3,ENSG00000162711
SNTG2,ENSG00000172554
EIPR1,ENSG00000032389
ADI1,ENSG00000182551
LINC00299,ENSG00000236790
ID2,ENSG00000115738
CPSF3,ENSG00000119203
IAH1,ENSG00000134330
YWHAQ,ENSG00000134308
KLF11,ENSG00000172059
ODC1-DT,ENSG00000257135
ATP6V1C2,ENSG00000143882
ROCK2,ENSG00000134318
FAM49A,ENSG00000197872
SMC6,ENSG00000163029
GEN1,ENSG00000178295
LINC01376,ENSG00000236204
LDAH,ENSG00000118961
KLHL29,ENSG00000119771
FAM228B,ENSG00000219626
NCOA1,ENSG00000084676
PTRHD1,ENSG00000184924
ADCY3,ENSG00000138031
DNAJC27,ENSG00000115137
DNMT3A,ENSG00000119772
DTNB,ENSG00000138101
ASXL2,ENSG00000143970
ADGRF3,ENSG00000173567
PREB,ENSG00000138073
PPM1G,ENSG00000115241
SUPT7L,ENSG00000119760
BABAM2,ENSG00000158019
FOSL2,ENSG00000075426
AC092164.1,ENSG00000226833
SPDYA,ENSG00000163806
CLIP4,ENSG00000115295
LCLAT1,ENSG00000172954
SPAST,ENSG00000021574
SLC30A6,ENSG00000152683
TTC27,ENSG00000018699
RASGRP3,ENSG00000152689
FAM98A,ENSG00000119812
CRIM1,ENSG00000150938
FEZ2,ENSG00000171055
HEATR5B,ENSG00000008869
GPATCH11,ENSG00000152133
AC006369.1,ENSG00000236213
CDC42EP3,ENSG00000163171
CYP1B1,ENSG00000138061
CYP1B1-AS1,ENSG00000232973
HNRNPLL,ENSG00000143889
GALM,ENSG00000143891
DHX57,ENSG00000163214
MAP4K3,ENSG00000011566
SLC8A1,ENSG00000183023
MTA3,ENSG00000057935
ZFP36L2,ENSG00000152518
THADA,ENSG00000115970
SLC3A1,ENSG00000138079
CAMKMT,ENSG00000143919
SRBD1,ENSG00000068784
PRKCE,ENSG00000171132
RHOQ,ENSG00000119729
AC018682.1,ENSG00000250116
LINC01118,ENSG00000222005
MCFD2,ENSG00000180398
MSH2,ENSG00000095002
MSH6,ENSG00000116062
FBXO11,ENSG00000138081
AC079807.1,ENSG00000233230
AC092650.1,ENSG00000230773
AC010967.1,ENSG00000228033
ACYP2,ENSG00000170634
CCDC88A,ENSG00000115355
AC132153.1,ENSG00000285755
VRK2,ENSG00000028116
AC007381.1,ENSG00000228590
BCL11A,ENSG00000119866
PAPOLG,ENSG00000115421
PEX13,ENSG00000162928
COMMD1,ENSG00000173163
AC018462.1,ENSG00000229839
B3GNT2,ENSG00000170340
EHBP1,ENSG00000115504
WDPCP,ENSG00000143951
VPS54,ENSG00000143952
PELI1,ENSG00000197329
LINC02245,ENSG00000237638
SPRED2,ENSG00000198369
PNO1,ENSG00000115946
PPP3R1,ENSG00000221823
AC017083.1,ENSG00000273064
PLEK,ENSG00000115956
ARHGAP25,ENSG00000163219
ANXA4,ENSG00000196975
PCBP1-AS1,ENSG00000179818
PCYOX1,ENSG00000116005
ADD2,ENSG00000075340
TEX261,ENSG00000144043
NAGK,ENSG00000124357
DYSF,ENSG00000135636
EXOC6B,ENSG00000144036
SMYD5,ENSG00000135632
FBXO41,ENSG00000163013
ALMS1,ENSG00000116127
DUSP11,ENSG00000144048
DGUOK-AS1,ENSG00000237883
TET3,ENSG00000187605
AC073263.2,ENSG00000279070
SLC4A5,ENSG00000188687
C2orf81,ENSG00000284308
WDR54,ENSG00000005448
AUP1,ENSG00000115307
HTRA2,ENSG00000115317
HK2,ENSG00000159399
TACR1,ENSG00000115353
MRPL19,ENSG00000115364
GCFC2,ENSG00000005436
KCMF1,ENSG00000176407
CAPG,ENSG00000042493
GNLY,ENSG00000115523
POLR1A,ENSG00000068654
RMND5A,ENSG00000153561
CD8A,ENSG00000153563
CD8B,ENSG00000172116
LINC01943,ENSG00000280721
CYTOR,ENSG00000222041
RGPD2,ENSG00000185304
KRCC1,ENSG00000172086
EIF2AK3,ENSG00000172071
RPIA,ENSG00000153574
IGKC,ENSG00000211592
MRPS5,ENSG00000144029
LINC00342,ENSG00000232931
ASTL,ENSG00000188886
DUSP2,ENSG00000158050
STARD7,ENSG00000084090
TMEM127,ENSG00000135956
AC013270.1,ENSG00000235480
C2orf92,ENSG00000228486
TMEM131,ENSG00000075568
UNC50,ENSG00000115446
LINC02611,ENSG00000226791
AC079447.1,ENSG00000241962
MITD1,ENSG00000158411
TXNDC9,ENSG00000115514
AFF3,ENSG00000144218
TBC1D8,ENSG00000204634
IL1R1,ENSG00000115594
IL18R1,ENSG00000115604
IL18RAP,ENSG00000115607
TMEM182,ENSG00000170417
C2orf49,ENSG00000135974
LIMS1,ENSG00000169756
CCDC138,ENSG00000163006
SH3RF3,ENSG00000172985
NPHP1,ENSG00000144061
MTLN,ENSG00000175701
BUB1,ENSG00000169679
MIR4435-2HG,ENSG00000172965
BCL2L11,ENSG00000153094
ANAPC1,ENSG00000153107
AC092645.2,ENSG00000286545
ZC3H6,ENSG00000188177
CHCHD5,ENSG00000125611
IL1B,ENSG00000125538
PSD4,ENSG00000125637
PAX8-AS1,ENSG00000189223
PAX8,ENSG00000125618
CBWD2,ENSG00000136682
AC009303.2,ENSG00000235066
EPB41L5,ENSG00000115109
RALB,ENSG00000144118
AC012447.1,ENSG00000265451
NIFK,ENSG00000155438
AC011246.1,ENSG00000286481
IWS1,ENSG00000163166
SFT2D3,ENSG00000173349
POLR2D,ENSG00000144231
SAP130,ENSG00000136715
UGGT1,ENSG00000136731
ARHGEF4,ENSG00000136002
MGAT5,ENSG00000152127
TMEM163,ENSG00000152128
ZRANB3,ENSG00000121988
MCM6,ENSG00000076003
DARS-AS1,ENSG00000231890
AC114763.1,ENSG00000228043
KYNU,ENSG00000115919
GTDC1,ENSG00000121964
ZEB2,ENSG00000169554
MBD5,ENSG00000204406
KIF5C,ENSG00000168280
RBM43,ENSG00000184898
RIF1,ENSG00000080345
AC097448.1,ENSG00000288066
CACNB4,ENSG00000182389
STAM2,ENSG00000115145
FMNL2,ENSG00000157827
ARL6IP6,ENSG00000177917
LINC01876,ENSG00000226383
AC074099.1,ENSG00000282440
GPD2,ENSG00000115159
ACVR1C,ENSG00000123612
ACVR1,ENSG00000115170
WDSUB1,ENSG00000196151
CD302,ENSG00000241399
LY75,ENSG00000054219
AC009313.1,ENSG00000224467
TANK,ENSG00000136560
LINC01806,ENSG00000227403
PSMD14,ENSG00000115233
SLC4A10,ENSG00000144290
IFIH1,ENSG00000115267
GCA,ENSG00000115271
COBLL1,ENSG00000082438
AC019197.1,ENSG00000236283
SLC38A11,ENSG00000169507
SCN3A,ENSG00000153253
TTC21B,ENSG00000123607
STK39,ENSG00000198648
CERS6,ENSG00000172292
CCDC173,ENSG00000154479
PHOSPHO2,ENSG00000144362
KLHL23,ENSG00000213160
MYO3B,ENSG00000071909
METTL8,ENSG00000123600
DYNC1I2,ENSG00000077380
HAT1,ENSG00000128708
METAP1D,ENSG00000172878
ITGA6-AS1,ENSG00000232788
RAPGEF4,ENSG00000091428
MAP3K20,ENSG00000091436
SCRN3,ENSG00000144306
GPR155,ENSG00000163328
AC010894.3,ENSG00000236449
CHN1,ENSG00000128656
AC079305.3,ENSG00000229337
AC079305.1,ENSG00000222043
AGPS,ENSG00000018510
CHROMR,ENSG00000223960
PJVK,ENSG00000204311
TTN,ENSG00000155657
CCDC141,ENSG00000163492
SESTD1,ENSG00000187231
CWC22,ENSG00000163510
LINC01934,ENSG00000234663
ITPRID2,ENSG00000138434
DNAJC10,ENSG00000077232
AC021851.1,ENSG00000272800
AC021851.2,ENSG00000287621
ZNF804A,ENSG00000170396
AC009315.1,ENSG00000286797
LINC01473,ENSG00000237877
ITGAV,ENSG00000138448
ANKAR,ENSG00000151687
OSGEPL1-AS1,ENSG00000253559
HIBCH,ENSG00000198130
AC006460.2,ENSG00000284052
NAB1,ENSG00000138386
AC006460.1,ENSG00000228509
STAT1,ENSG00000115415
STAT4,ENSG00000138378
AC067945.4,ENSG00000288064
HECW2,ENSG00000138411
PGAP1,ENSG00000197121
AC013264.1,ENSG00000231621
ANKRD44-IT1,ENSG00000236977
AC011997.1,ENSG00000222017
PLCL1,ENSG00000115896
FTCDNL1,ENSG00000226124
TYW5,ENSG00000162971
MAIP1,ENSG00000162972
PPIL3,ENSG00000240344
AC005037.1,ENSG00000183308
CASP10,ENSG00000003400
BMPR2,ENSG00000204217
FAM117B,ENSG00000138439
ICA1L,ENSG00000163596
WDR12,ENSG00000138442
RAPH1,ENSG00000173166
CD28,ENSG00000178562
CTLA4,ENSG00000163599
ICOS,ENSG00000163600
PARD3B,ENSG00000116117
AC007383.2,ENSG00000227946
ZDBF2,ENSG00000204186
ADAM23,ENSG00000114948
AC008269.1,ENSG00000229321
AC007879.3,ENSG00000234902
AC009226.1,ENSG00000223725
LINC01857,ENSG00000224137
RPE,ENSG00000197713
AC093865.1,ENSG00000273118
IKZF2,ENSG00000030419
LINC01953,ENSG00000236193
SPAG16,ENSG00000144451
AC068051.1,ENSG00000197585
SNHG31,ENSG00000229267
SMARCAL1,ENSG00000138375
DIRC3,ENSG00000231672
AAMP,ENSG00000127837
PNKD,ENSG00000127838
SLC11A1,ENSG00000018280
CTDSP1,ENSG00000144579
USP37,ENSG00000135913
ZNF142,ENSG00000115568
TTLL4,ENSG00000135912
CYP27A1,ENSG00000135929
NHEJ1,ENSG00000187736
ABCB6,ENSG00000115657
ATG9A,ENSG00000198925
STK16,ENSG00000115661
DNAJB2,ENSG00000135924
GMPPA,ENSG00000144591
CHPF,ENSG00000123989
EPHA4,ENSG00000116106
SGPP2,ENSG00000163082
ACSL3,ENSG00000123983
WDFY1,ENSG00000085449
RHBDD1,ENSG00000144468
AGFG1,ENSG00000173744
CCL20,ENSG00000115009
PID1,ENSG00000153823
AC009950.1,ENSG00000225963
AC010149.1,ENSG00000235419
PSMD1,ENSG00000173692
NMUR1,ENSG00000171596
PDE6D,ENSG00000156973
TIGD1,ENSG00000221944
INPP5D,ENSG00000168918
USP40,ENSG00000085982
AGAP1,ENSG00000157985
SNED1,ENSG00000162804
AC005237.1,ENSG00000225521
FARP2,ENSG00000006607
THAP4,ENSG00000176946
LINC01237,ENSG00000233806
CHL1,ENSG00000134121
AC034195.1,ENSG00000223727
SUMF1,ENSG00000144455
ITPR1,ENSG00000150995
AC018816.1,ENSG00000235978
BHLHE40,ENSG00000134107
MTMR14,ENSG00000163719
OGG1,ENSG00000114026
CAMK1,ENSG00000134072
IL17RC,ENSG00000163702
FANCD2,ENSG00000144554
TATDN2,ENSG00000157014
GHRL,ENSG00000157017
SEC13,ENSG00000157020
TAMM41,ENSG00000144559
PPARG,ENSG00000132170
MKRN2,ENSG00000075975
HDAC11,ENSG00000163517
SLC6A6,ENSG00000131389
NR2C2,ENSG00000177463
EAF1,ENSG00000144597
EAF1-AS1,ENSG00000249786
COLQ,ENSG00000206561
HACL1,ENSG00000131373
ANKRD28,ENSG00000206560
AC090945.1,ENSG00000287042
DPH3,ENSG00000154813
AC090644.1,ENSG00000285731
TBC1D5,ENSG00000131374
KCNH8,ENSG00000183960
AC061958.1,ENSG00000287069
PP2D1,ENSG00000183977
KAT2B,ENSG00000114166
SGO1-AS1,ENSG00000231304
UBE2E2,ENSG00000182247
NKIRAS1,ENSG00000197885
EOMES,ENSG00000163508
CMC1,ENSG00000187118
RBMS3,ENSG00000144642
OSBPL10,ENSG00000144645
OSBPL10-AS1,ENSG00000232490
GLB1,ENSG00000170266
CRTAP,ENSG00000170275
LINC01811,ENSG00000226320
MLH1,ENSG00000076242
LRRFIP2,ENSG00000093167
ACAA1,ENSG00000060971
MYD88,ENSG00000172936
EXOG,ENSG00000157036
SCN11A,ENSG00000168356
TTC21A,ENSG00000168026
MYRIP,ENSG00000170011
ZNF620,ENSG00000177842
ULK4,ENSG00000168038
TRAK1,ENSG00000182606
AC006059.1,ENSG00000230084
ANO10,ENSG00000160746
ABHD5,ENSG00000011198
TCAIM,ENSG00000179152
ZKSCAN7-AS1,ENSG00000236869
TMEM42,ENSG00000169964
CDCP1,ENSG00000163814
LARS2,ENSG00000011376
LIMD1,ENSG00000144791
LIMD1-AS1,ENSG00000230530
LZTFL1,ENSG00000163818
CCR1,ENSG00000163823
NBEAL2,ENSG00000160796
KIF9-AS1,ENSG00000227398
NME6,ENSG00000172113
SHISA5,ENSG00000164054
PRKAR2A,ENSG00000114302
P4HTM,ENSG00000178467
USP19,ENSG00000172046
CCDC71,ENSG00000177352
APEH,ENSG00000164062
MST1,ENSG00000173531
RNF123,ENSG00000164068
UBA7,ENSG00000182179
RBM5,ENSG00000003756
NAA80,ENSG00000243477
NPRL2,ENSG00000114388
CYB561D2,ENSG00000114395
MAPKAPK3,ENSG00000114738
DOCK3,ENSG00000088538
RAD54L2,ENSG00000164080
TEX264,ENSG00000164081
ABHD14A,ENSG00000248487
ALAS1,ENSG00000023330
PPM1M,ENSG00000164088
DNAH1,ENSG00000114841
BAP1,ENSG00000163930
PHF7,ENSG00000010318
NISCH,ENSG00000010322
NEK4,ENSG00000114904
ITIH4,ENSG00000055955
SFMBT1,ENSG00000163935
RFT1,ENSG00000163933
PRKCD,ENSG00000163932
TKT,ENSG00000163931
CACNA1D,ENSG00000157388
ARHGEF3,ENSG00000163947
DENND6A-AS1,ENSG00000239801
SLMAP,ENSG00000163681
FLNB,ENSG00000136068
PXK,ENSG00000168297
AC135507.1,ENSG00000272182
FHIT,ENSG00000189283
PSMD6,ENSG00000163636
LRIG1,ENSG00000144749
TAFA1,ENSG00000183662
UBA3,ENSG00000144744
FRMD4B,ENSG00000114541
FOXP1-AS1,ENSG00000244203
FOXP1-IT1,ENSG00000242094
EIF4E3,ENSG00000163412
ROBO1,ENSG00000169855
NSUN3,ENSG00000178694
ARL6,ENSG00000113966
CRYBG3,ENSG00000080200
ST3GAL6,ENSG00000064225
DCBLD2,ENSG00000057019
CMSS1,ENSG00000184220
FILIP1L,ENSG00000168386
AC084198.2,ENSG00000286699
CEP97,ENSG00000182504
NFKBIZ,ENSG00000144802
