0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
RALGPS2	1.7491730353307434e-105	CLEC10A	7.309313186477272e-12	PBX4	1.3253172581766197e-22	CLIC1	2.2778187771993806e-24	AC018557.3	1.1624581541006322e-64	AL359706.1	2.2525827720688834e-13	CCNH	3.961534653285175e-39	HIST1H2AC	2.239628725901089e-23	ARMC7	2.526168993793211e-47	KLRD1	3.4800910519337694e-39	INPP4B	7.673637398346343e-36	HLA-DQA1	2.3971406747688066e-34	ADAM28	1.794503062439835e-39	ZNF331	2.1394846779079826e-20	FTCDNL1	7.595981850086171e-37	AL033523.1	3.7090284180350104e-21	GPCPD1	1.2690595205732173e-33	CST7	5.856745783887702e-12	HEXIM2	4.752386116812773e-06
HLA-DQB1	1.9046816627803843e-103	ALDH1A2	8.833716235812594e-12	NIBAN1	2.5790788113266195e-22	ANXA1	5.174191895194558e-24	AC084024.4	1.1669265595139814e-64	AC007541.1	3.217016575034614e-13	CD8A	1.1704193241952115e-38	CD247	2.375590251300322e-22	ANKRD16	3.4368891759671946e-47	CST7	3.6267802107811945e-39	PRKCH	8.374270079341928e-34	HLA-DRB5	5.429243915912616e-34	CD83	2.8632984794819427e-39	SYNE2	2.210876456765539e-20	AL355001.2	7.800451146535028e-37	AC005387.2	3.961251400967773e-21	FCN1	2.5112981616162204e-33	ERN1	1.9836974868695115e-11	GUCY1A1	4.819223473301799e-06
HLA-DQA1	2.5178563498330035e-103	MCM4	9.19740640954501e-12	SYNE2	3.925518852764372e-22	CCL5	1.1122954143828775e-23	AC009879.4	1.200989741926358e-64	PDE3B	3.7640531744663087e-13	RNF19A	9.687281223428062e-37	ADAMTS17	3.054071042073606e-22	SFT2D3	6.036460314325598e-47	LITAF	4.337427528389982e-38	CDC42SE2	1.6141541140769774e-33	BANK1	2.342726354156564e-32	MS4A1	3.994662576505629e-39	BCL11B	6.783624608224339e-20	HDAC11	8.907804228401534e-37	LHFPL6	4.039456323040557e-21	SPI1	3.809487841192855e-33	RORA	4.680495924398841e-11	BFSP2	4.841701977178129e-06
LINC00926	1.8044198528108332e-101	MPPED2	1.0371434364983207e-11	PPP1R16B	6.321674078571958e-22	COTL1	1.400059069974e-23	AL121985.1	1.2599776562981187e-64	ARHGEF37	3.8512138082905536e-13	P2RY8	9.183855860381386e-36	PCSK5	8.268833415917297e-22	LY6G5B	6.577376520864852e-47	EFHD2	1.7650845301360537e-37	MAML2	7.75937292328117e-33	AFF3	5.81053290346771e-27	FCRL1	6.470113966715806e-39	LMNA	1.4159279579241204e-19	ZNF69	1.0421506576420698e-36	BICRA-AS1	4.336928653559051e-21	MAFB	5.0337112356244116e-33	RUNX3	9.096235760699934e-11	SPANXA2-OT1	4.8983384199433845e-06
IGHD	6.036854720089891e-101	ARHGEF4	1.1782795868870549e-11	TRAF1	9.068493890492033e-22	SRGN	3.988575033866017e-20	C9orf153	2.0696313629592908e-64	FAM153A	4.534947307090005e-13	PARP8	5.347588640483089e-35	AC068888.1	3.0742186879456804e-21	AC022146.2	6.735329320781416e-47	MYO1F	1.4149287767494262e-36	CD247	7.976818654427273e-33	RALGPS2	6.744487996063293e-27	PRKCB	9.345850636791746e-39	RASA3	3.0921286242660366e-19	UGDH	1.2271583863895404e-36	PCOLCE	4.672603237227365e-21	CTSS	7.449345916590577e-33	KLRB1	1.016950648356089e-10	IGHE	4.944103869809685e-06
HLA-DPB1	4.4114993998358935e-100	ZMPSTE24	1.2663761422664986e-11	AHNAK	2.105903655709452e-21	ITGB1	4.2804251619816636e-19	FAM20C	2.1340054831252895e-64	ARMCX4	4.724218025058961e-13	SYTL3	8.740625203069603e-34	AC010275.1	8.759963384947352e-21	FEN1	7.101420607688323e-47	RUNX3	3.27746405645657e-36	HERC1	9.063157522435119e-32	IGHD	2.789523353994049e-26	FCHSD2	1.000677799643059e-38	SLC2A3	3.2310183589221816e-19	AL590705.1	1.2380403935308297e-36	AC135507.1	5.252708148906267e-21	CSF3R	8.103592100252086e-33	TGFB1	1.2477019995811285e-10	CFAP299	5.001886722305839e-06
CD83	1.9445147813783442e-99	NOX3	1.3409990052135571e-11	ANXA1	4.8914381221765154e-21	TIMP1	1.2722918195971932e-18	MEIKIN	2.7735817946387628e-64	INPP4B	4.742546066638372e-13	KLRK1	9.001419046306627e-34	INPP4B	1.9161764856199417e-20	AL603756.1	8.383730711249244e-47	FGFBP2	3.373312557681301e-36	BACH2	1.0975694141824006e-30	MEF2C	3.7123364017088057e-26	ADK	1.2413098645609968e-38	ICOS	6.33194829027565e-19	EIF5AL1	1.3140448598387087e-36	AC006460.1	5.510059889183955e-21	PTPRE	1.0428668716962154e-32	NFKBIA	1.3513001336800671e-10	IFITM10	5.013520642284472e-06
SIPA1L1	2.1122411148403122e-98	ABCB6	1.3811195863695866e-11	ZFP36L2	1.2251154721515752e-20	NFKBIA	2.585872225267164e-18	AP001021.3	2.8055922703270863e-64	FAM234B	4.957336879262074e-13	PRKCH	1.1121670704010713e-33	AP005482.1	4.334569910469734e-20	AL357054.4	1.922338349961592e-46	TTC38	8.614829181774276e-36	TSHZ2	5.773751594905105e-29	RUBCNL	4.7787498846999066e-24	TRIO	2.0691536125953472e-38	ATXN1	8.146771475507025e-19	AC244090.1	1.5199217488595866e-36	ZNF541	5.872686158713502e-21	MYO9B	4.98743708185828e-32	FOS	1.418699791171744e-10	LINC02709	5.0485780869910994e-06
CD79A	2.6102504129152107e-96	AQP4-AS1	1.3927969568359622e-11	S100A4	1.4521746741794576e-20	RUNX3	6.3662361453731105e-18	AC021851.2	2.8271368551140448e-64	AC127526.2	6.127679407779001e-13	SRGN	8.926863254864567e-33	GUCA1B	5.200650185949158e-20	GMPPA	2.243105438618141e-46	GZMA	2.2673093783181428e-35	SMCHD1	1.7297756091958805e-28	GNG7	1.0143347583562907e-22	RERE	6.921243183051743e-38	NFKB1	2.2514699450635713e-18	AP5S1	1.6202344972439568e-36	OPHN1	6.105807604452379e-21	FOXO3	5.181513233144251e-32	GZMA	1.985806587112622e-10	PEG10	5.083870215888641e-06
COL19A1	1.1767369953297834e-95	PKN2-AS1	1.5966786218859053e-11	PAM	3.273679191951982e-20	PIM3	6.724861156455945e-18	GPAM	2.865237349096587e-64	NAXD	6.550732857422298e-13	LYAR	1.2961159238910153e-32	THRA1/BTR	7.572907002295483e-20	CCDC28B	3.200366252447348e-46	PRKCH	1.0679443702369107e-34	RAPGEF6	4.2004757515521975e-28	IRF8	1.0298138628115412e-22	HLA-DRB1	1.0958586771940574e-37	SMCHD1	2.8347775762062656e-18	MRM2	1.6563289685235734e-36	AP001318.2	6.2367983377669005e-21	HIF1A	6.369447113889457e-32	PMAIP1	8.593818681124316e-10	TBC1D12	5.107529419864634e-06
CD37	5.035301774151869e-95	TK2	1.6861745609706464e-11	PTGER4	3.507260038062628e-20	SAMSN1	8.969799179170474e-18	LINC01762	3.2258359154121557e-64	MTBP	6.907342864451269e-13	CD8B	6.266586072304477e-31	DCBLD2	8.13999788067868e-20	SPIN2B	7.246690531881625e-46	PRF1	2.13301038857874e-33	MLLT3	2.0363717895461073e-26	LYN	1.5698710370101675e-22	SNX29	1.2967448859713854e-37	TUFT1	3.2708708949791563e-17	MAP1S	1.663643188398063e-36	NEGR1	6.2588987175831826e-21	IFI30	3.7025036236163807e-31	LITAF	1.3154868996659001e-09	UACA	5.107529419864634e-06
GNG7	2.541556790040347e-93	LINC01560	1.6997783393716532e-11	ICOS	2.862069954807229e-19	CFH	1.7818190869228673e-16	LEPR	3.809317045601117e-64	ZNF350-AS1	7.389447248688265e-13	SIK3	6.970112425733509e-30	FANCC	8.570563254486459e-20	TKFC	8.789352647298503e-46	AOAH	2.623060300906756e-32	TMEM131L	4.181392940632414e-26	ARHGAP24	1.2766520866491424e-21	CAMK2D	1.651227997974573e-37	PPP1R16B	4.0626313419467267e-17	PFKM	1.873731809357511e-36	GRID2	6.74131775511101e-21	S100A11	3.8958792637831775e-31	PARP8	2.8280148367432643e-09	FCRL5	5.131294037420114e-06
HLA-DPA1	2.874315017321617e-91	LINC02315	1.7793346635938872e-11	GATA3	4.497741415755998e-19	PRSS21	3.7710033422783e-15	AL022323.4	4.523744738957193e-64	CDRT4	7.523062966178769e-13	CRTAM	1.2946256026260318e-29	ALG13-AS1	1.3781957502277794e-19	HRH2	1.4292466988399364e-45	SYNE1	4.706731977642035e-32	RASA3	3.4556493454893403e-25	HLA-DMA	2.6894194757619124e-21	PRKCE	3.077200662395828e-37	TLCD2	5.5379317845271623e-17	ITGA6-AS1	1.8986445765084608e-36	TPPP3	6.7651854646925e-21	ARHGAP26	4.135711839668393e-31	FKBP11	1.8165868519648635e-08	SHBG	5.167139592484965e-06
HLA-DRB5	7.405661707014056e-89	GSDME	2.0799429268854555e-11	NFKB1	2.7389654235160966e-18	AC116337.3	7.13915313762168e-15	BEND4	5.043755835066131e-64	LINC02315	8.143859424737688e-13	SYNE2	1.733737762907635e-29	GPR89A	1.523366963366294e-19	IL17RC	1.744888248634072e-45	TYROBP	3.300321487669784e-30	AL603756.1	9.765828712959037e-25	CD83	2.3545377788817852e-20	AC120193.1	3.979439251669441e-37	NUDT13	5.640955727235843e-17	DYNLRB2	2.0779199620195164e-36	CD300C	6.777150640440573e-21	CEBPB	1.3408048070826722e-30	S100A6	4.298523506408795e-08	CCL20	5.288364547973174e-06
ARHGAP24	2.2673662722753192e-88	B3GALT6	2.1032232911205118e-11	AHR	7.988656611362141e-18	PHLDA2	8.087831253921187e-15	C1orf147	5.17046061255459e-64	TIMM8A	9.127641316779187e-13	ARHGAP26	1.9428126269364595e-28	AC092650.1	1.6855442828218665e-19	MIR4458HG	1.9434604740581704e-45	KLRK1	3.506700190263293e-30	PELI1	1.1133024173653155e-24	HLA-DQA2	3.5048821599379426e-20	GNG7	1.0790181222635622e-36	SERPINB2	6.291091932438798e-17	AL022328.4	2.2790142550088534e-36	ABCB6	6.789136744977867e-21	ABCA1	3.893359856689095e-30	PHACTR2	4.53366562624057e-08	MAGI2	5.312934139261508e-06
AC120193.1	1.2807103857674372e-86	GRID2	2.1312002190052896e-11	TOX	8.293507659543403e-18	HOMER3	1.1711242855335259e-14	AC060234.3	6.080782663087284e-64	TSHZ2	9.288090452748e-13	STAT4	6.598061287046111e-27	GCNT4	1.9216727686057538e-19	ABCF2	2.145168072401423e-45	CD63	7.039313981458102e-28	EXPH5	6.687101884477737e-24	CTSZ	7.584139805603951e-20	ZCCHC7	1.6920619422005147e-36	AL603756.1	6.809807817831281e-17	MANBAL	2.8515538859520676e-36	RASIP1	6.849382468333173e-21	ASAH1	8.194489907619356e-30	ID2	5.633537793630861e-08	TFEC	5.349993552737826e-06
RUBCNL	3.863975970889631e-81	CHTF18	2.1312002190052896e-11	CRIP1	9.946794677849393e-18	AC011445.2	1.2269404051897721e-14	DCBLD2	6.329272426527493e-64	GPC5	9.331606656142215e-13	CST7	5.471700987675583e-26	SAMD12	2.069809419206288e-19	BCL2L12	2.6085020123435996e-45	ACTB	9.667121011491647e-28	SERPINB2	8.122188598831842e-24	EIF2AK3	1.632175992709114e-19	ARHGAP24	2.4806414391831476e-36	B3GALT4	1.2389437239298464e-16	C19orf73	4.2783344916675205e-36	KIF14	7.095698165586852e-21	VCAN	9.595614137138148e-30	SRGN	1.1853566381839476e-07	AC138627.1	5.362401595629002e-06
SNX29	6.303544380433284e-81	RDH5	2.1371363579557357e-11	ZFPM1	5.568608298286349e-17	FANCE	1.3024007847148925e-14	C15orf48	6.66368323204224e-64	PROCR	9.794541542791014e-13	RGS1	6.658793525543509e-25	AL390774.2	2.4501297260757376e-19	ILVBL	3.518472336247764e-45	KLRF1	7.529540171611981e-27	TLCD2	1.416809681949308e-23	TNFRSF13C	4.689353163440726e-19	LINC00926	2.9382056529605936e-36	LCMT1-AS1	1.299426329467261e-16	APBB3	4.519084999349017e-36	NPIPB12	7.324860759405867e-21	S100A9	3.662294285648691e-29	CEBPD	2.0509101827491204e-07	TGFB3	5.412309842364966e-06
ST6GAL1	5.9271856795179574e-80	AL160291.1	2.1505519194355804e-11	CD28	8.614015110845494e-17	CENPW	1.576440583980225e-14	PHEX	8.062994743024525e-64	NOX3	9.894835630605667e-13	YES1	1.4921413547130758e-24	AC099518.4	3.040063039595494e-19	TMEM187	5.3952862217385236e-45	GNPTAB	1.3822034225898302e-26	POU6F1	1.6790425174947384e-23	ADAM28	6.5620279208502395e-19	CD74	3.0056507509483397e-36	CDYL2	1.435270506384309e-16	AL356512.1	5.030688980734508e-36	FANK1	7.57469709022754e-21	S100A6	3.662294285648691e-29	EFHD2	2.1941967473442423e-07	LINC01340	5.475320707180726e-06
FCHSD2	5.811945960776043e-79	AC135507.1	2.1580405990161413e-11	LINC02694	1.461958396461664e-16	CALML4	2.2520807890486354e-14	SYT5	9.40826640274232e-64	ZBTB34	1.18723944115147e-12	ATXN1	5.87157648503288e-24	AC244131.2	3.0919358396750767e-19	CDC23	6.358828033050202e-45	STAT4	4.38194710054659e-26	AL359220.1	2.2333891935685145e-23	IGHA1	1.6595814097877083e-17	FAM3C	5.5175862324980504e-36	AC022146.2	1.5895326302129664e-16	SLC35B2	5.0638181969068854e-36	AC008035.1	7.860644424866694e-21	RNF130	5.625264521916079e-29	MYO1F	2.4774449671623663e-07	AL357153.2	5.539033510472245e-06
SWAP70	2.081640080847154e-77	ZNF16	2.1685676576631175e-11	AP3M2	1.6570495657820618e-16	MYO3B	2.3500777068639488e-14	AL034397.3	1.0172229784551117e-63	POLE	1.2996274712146496e-12	PITPNC1	4.7090163769404803e-23	TTN	3.6529995106444244e-19	SRF	7.61471385700075e-45	RAP1GAP2	6.420787435087959e-26	AC022146.2	2.48911423855119e-23	IGKC	5.551653224577173e-17	ITPR1	7.235519256487021e-36	AL359220.1	2.3514577008354057e-16	RTKN2	5.7110906782312846e-36	PKIB	7.972362575964603e-21	PTK2B	7.08002679590137e-29	HOPX	2.4833958829295455e-07	AC007381.1	5.708025452091496e-06
CDK14	4.619881248159479e-77	RAPGEF4	2.1715846117033756e-11	GNG2	2.6654544211929444e-16	IL1R1	2.536712452989771e-14	OSBP2	1.027930851738616e-63	AC073529.1	1.3051270578612806e-12	ADGRE5	9.787451609563118e-23	PAK4	4.106311122514718e-19	TLCD2	9.18238679465754e-45	FLNA	6.638150902901285e-26	PLCG1	2.892324001893269e-23	CHPT1	7.372254467107482e-17	RUBCNL	1.0506387590664497e-35	CATSPERE	3.221320652416754e-16	LINC01500	7.028470723152594e-36	DAPK2	8.028809043493576e-21	RBM47	8.888413670172386e-29	ACTB	3.619146266660078e-07	AP000829.1	5.801053966071989e-06
HLA-DMB	3.17233101804427e-76	TRIM3	2.2405628626843753e-11	CDC42SE2	4.362965814443901e-16	HPSE	2.576646175941784e-14	GUCA1B	1.1252082861928376e-63	ANKS1B	1.3150839160854939e-12	GNG2	3.040410065975989e-22	USP51	4.1527224198561403e-19	PIDD1	9.397584844983852e-45	FCGR3A	1.0056003894529476e-25	TUFT1	3.081793324390287e-23	FCER2	1.232498638323201e-16	PAX5	1.3847155473037184e-35	S100P	3.385760134401405e-16	LZTS3	7.278318818421355e-36	DAB2	8.099923213145423e-21	ZEB2	2.203581797075594e-28	CD8A	3.6449469318811536e-07	NRG2	5.827898963976174e-06
ADK	6.38791107221057e-76	MUC6	2.388326699763613e-11	CD2	6.264261080007881e-16	GNG3	2.5788827554171384e-14	NAP1L2	1.1252082861928376e-63	EYS	1.3868994455644146e-12	TGFB1	4.769243599676396e-22	AC131571.1	4.53805648685372e-19	BOLA2B	1.240661863560163e-44	CLIC1	4.235721151252633e-25	PDE9A	3.916736123375702e-23	NIBAN3	5.031077545178742e-16	IGHM	2.2049332354528295e-35	ZNF280B	3.3998310879949297e-16	RMI2	7.553457771642266e-36	MTMR11	8.479880016479335e-21	AIF1	6.051299420782772e-28	GNLY	5.205884995148826e-07	AC006230.1	6.131151002967441e-06
PRKCB	2.743075728802746e-75	MAPK6-DT	2.4216897406539028e-11	DUSP2	6.309168758978788e-16	AC023790.2	2.8124562010272272e-14	AL162390.1	1.1958614402066402e-63	AC010149.1	1.3927611516715091e-12	PDE4B	7.123944634344061e-22	SFMBT2	4.698732320599772e-19	ZSCAN5A	1.5440199096162355e-44	PLCB1	5.116116215004705e-25	SAMHD1	3.9649085921572303e-23	AC010996.1	1.7239160045451431e-15	SWAP70	2.254901902103534e-35	RTL8A	3.62795071377373e-16	NHSL2	7.736971245790531e-36	ZNF154	8.861827178993805e-21	BCL2A1	1.9494958793744905e-27	ANXA1	1.364553007245519e-06	LINC02798	6.145287916127406e-06
BACH2	5.691622931837104e-75	FUT4	2.4284168876076633e-11	LINC00513	7.126150929466414e-16	TEX52	3.139274081172821e-14	NOP9	1.325253695306559e-63	ZNF841	1.3998272913416295e-12	CDC42SE2	1.1379559678926288e-21	ZEB1	5.209405540218136e-19	ZNF165	4.842984280406427e-44	CCL4	1.0491622867720509e-24	ZC3HAV1	5.942902093598127e-23	CD22	1.9004718384773588e-15	STRBP	7.742722158329976e-35	HRH2	5.651703828445715e-16	LINC01483	7.959570243165019e-36	AL161457.2	8.94023368634437e-21	CST3	2.5407288754563524e-27	GNG2	1.521995756271013e-06	LINC02234	6.145287916127406e-06
MEF2C	3.021754280820697e-74	AC005062.1	2.4623279835874107e-11	FOS	8.140778066807872e-16	AL353801.3	3.632684706260878e-14	RNF165	1.4882701738958804e-63	ZNF182	1.444185564562629e-12	ATP8A1	2.510497358600583e-21	CACNA1D	5.833300505657228e-19	GTPBP3	5.216043757961169e-44	SYNE2	2.0163946406781736e-24	LINC02109	7.127291408396854e-23	AL355076.2	2.3690685844606675e-15	AUTS2	5.651947277792411e-34	FAM221A	5.721930024504683e-16	AL163973.2	8.224333310488524e-36	AC012313.1	8.94023368634437e-21	PLXDC2	3.1755809792472017e-27	CFH	2.2759230499422095e-06	NAV2	6.1878860528018474e-06
ZCCHC7	3.4584966830499784e-74	AC093484.2	2.5036335659286745e-11	AL139807.1	2.064597500295795e-15	ANXA5	4.0320452583700606e-14	PAK4	1.742619529693341e-63	SIGLEC9	1.4824100395907874e-12	AOAH	1.0665362310455696e-20	AP000317.1	6.039195912843921e-19	IZUMO4	5.509610290202404e-44	SPON2	2.2840062799421224e-24	SLC16A10	1.2445634321651152e-22	ARRDC4	3.5584364917117494e-15	NCOA3	7.712731636438856e-34	ZNF165	6.289670080161856e-16	FKRP	8.332672584138941e-36	LINC02341	9.763022672176563e-21	LRMDA	5.911943402464213e-27	SYNE2	2.5080547926033484e-06	PHOSPHO2	6.245123279941663e-06
RRAS2	1.9099526655454344e-73	AC073115.2	2.5036335659286745e-11	EPHA4	2.2537586050345285e-15	C19orf57	4.517014658115168e-14	AC009292.2	1.7930063245445564e-63	SAMHD1	1.4830346264620686e-12	PMAIP1	4.3547177274276774e-20	AL121985.1	6.100305258058313e-19	ASB16-AS1	7.128961997645474e-44	MAP3K8	7.006011586599311e-24	SPATA20	1.2914187515889587e-22	ZNF232	1.1679017491075666e-14	HLA-DPB1	9.079524644773332e-34	SORD	9.233345254005255e-16	RECQL5	8.609765191207292e-36	AL049569.1	9.884035136262239e-21	PIK3R5	7.066815036877114e-27	CLIC1	3.712922091189361e-06	SLC4A10	6.3465095197050106e-06
TRIO	1.979579169941489e-73	OLR1	2.5668666719835416e-11	FAM102B	2.8217586620270177e-15	CXCL10	4.6429634933670695e-14	AC007879.3	2.3214748029726943e-63	TXK	1.5664681774723851e-12	ATG2A	7.414924870104963e-20	DPYD-AS1	6.806563819367496e-19	SCCPDH	7.744963514780153e-44	SRGN	2.682239318946633e-23	ZNF280B	1.5487993209097744e-22	AC005726.5	1.2385363187735155e-14	MEF2A	9.929196522554413e-34	PRRG2	9.283797653774312e-16	RPL34-AS1	8.915428214092075e-36	CCNA2	1.0059487253101839e-20	FNDC3B	8.139560762310032e-27	SNCA	5.250751640881618e-06	MORN1	6.3465095197050106e-06
CHPT1	4.8134644951934716e-73	MIR3945HG	2.584707123698499e-11	SEMA4A	3.084382180856152e-15	PIAS3	4.662952449066289e-14	AATK	2.3885305081865634e-63	AC005062.1	1.6166798227940786e-12	ZNF331	1.9690139415784657e-19	SLC31A1	7.030633016860681e-19	IFI44L	9.894135643764162e-44	IFITM2	4.554816356831386e-23	S100P	1.7250028027865726e-22	IRF5	1.3180938315992369e-14	CD22	1.0148631474762085e-33	LINC02109	9.776845512555064e-16	FAM111A-DT	1.1807958393248101e-35	AC040934.1	1.0364851372865677e-20	ITGAX	1.0881338071031042e-26	SPCS3	5.7123241656836875e-06	PTPN13	6.419890447096868e-06
